deposit_block_time,source_chain,destination_chain,amount_usd
2026-04-10 12:21:51.000 UTC,arbitrum,base,4.161410991486
2026-04-10 12:21:59.000 UTC,ethereum,base,149.818997293117
2026-04-10 12:21:59.000 UTC,ethereum,base,76.55806043683232
2026-04-10 12:21:59.000 UTC,optimism,base,42.11523260999999
2026-04-10 12:21:59.000 UTC,ethereum,optimism,12415.305225
2026-04-10 12:22:06.000 UTC,arbitrum,ethereum,0.7096641904
2026-04-10 12:22:09.000 UTC,arbitrum,hyperliquid,97.36564129550999
2026-04-10 12:22:11.000 UTC,ethereum,hyperliquid,1982.4882986543041
2026-04-10 12:22:17.000 UTC,arbitrum,ethereum,48.214555813427495
2026-04-10 12:22:19.000 UTC,arbitrum,base,68.40906759070855
2026-04-10 12:22:22.000 UTC,polygon,ethereum,10.902793852356803
2026-04-10 12:22:35.000 UTC,ethereum,base,22.709924037595655
2026-04-10 12:22:37.000 UTC,polygon,arbitrum,116.950473835074
2026-04-10 12:22:39.000 UTC,base,ethereum,4.147909154424
2026-04-10 12:22:42.000 UTC,arbitrum,hyperliquid,9.8006076
2026-04-10 12:22:45.000 UTC,arbitrum,ethereum,4.402300925736
2026-04-10 12:22:47.000 UTC,arbitrum,hyperliquid,21.36132432
2026-04-10 12:22:47.000 UTC,arbitrum,zksync,391.2252839885879
2026-04-10 12:22:48.000 UTC,arbitrum,hyperliquid,169.48050714000001
2026-04-10 12:22:49.000 UTC,base,arbitrum,446.4500949748925
2026-04-10 12:22:49.000 UTC,base,arbitrum,11.09405
2026-04-10 12:22:50.000 UTC,zksync,arbitrum,17.306718
2026-04-10 12:22:50.000 UTC,arbitrum,hyperliquid,26.785703610665998
2026-04-10 12:22:51.000 UTC,base,ethereum,29645.34832363688
2026-04-10 12:22:51.000 UTC,base,ethereum,12.246317224596
2026-04-10 12:22:51.000 UTC,arbitrum,zksync,278.9387760295827
2026-04-10 12:22:52.000 UTC,ethereum,polygon,10.895656096308517
2026-04-10 12:22:53.000 UTC,base,zksync,77.754558483756
2026-04-10 12:22:55.000 UTC,optimism,base,4.147798147542
2026-04-10 12:22:59.000 UTC,ethereum,base,193.76116171403234
2026-04-10 12:22:59.000 UTC,ethereum,arbitrum,2182.080512604384
2026-04-10 12:23:01.000 UTC,base,arbitrum,0.8991132868320434
2026-04-10 12:23:03.000 UTC,base,ethereum,77.14897597881927
2026-04-10 12:23:19.000 UTC,arbitrum,zksync,445.7840981572375
2026-04-10 12:23:20.000 UTC,zksync,arbitrum,390.0221002379254
2026-04-10 12:23:23.000 UTC,ethereum,base,10.500651
2026-04-10 12:23:23.000 UTC,zksync,arbitrum,277.7908287050116
2026-04-10 12:23:23.000 UTC,ethereum,polygon,17.084837
2026-04-10 12:23:25.000 UTC,base,ethereum,174.6773138719865
2026-04-10 12:23:27.000 UTC,polygon,base,1.0500651
2026-04-10 12:23:30.000 UTC,arbitrum,hyperliquid,2181.855962683152
2026-04-10 12:23:33.000 UTC,polygon,ethereum,21.469249954174
2026-04-10 12:23:35.000 UTC,polygon,ethereum,100007.06238229183
2026-04-10 12:23:38.000 UTC,arbitrum,ethereum,1.6130306264688625
2026-04-10 12:23:42.000 UTC,base,ethereum,5.990389169251877
2026-04-10 12:23:43.000 UTC,polygon,ethereum,1400.5515691855555
2026-04-10 12:23:47.000 UTC,ethereum,base,10008.225593517565
2026-04-10 12:23:53.000 UTC,optimism,ethereum,41602.862815583074
2026-04-10 12:23:55.000 UTC,arbitrum,hyperliquid,29818.108608119997
2026-04-10 12:23:59.000 UTC,polygon,arbitrum,40.646130903881996
2026-04-10 12:24:11.000 UTC,ethereum,base,47.94297228
2026-04-10 12:24:11.000 UTC,arbitrum,ethereum,501.707219919192
2026-04-10 12:24:11.000 UTC,ethereum,arbitrum,1695.91514022
2026-04-10 12:24:11.000 UTC,ethereum,hyperliquid,16.7181120832
2026-04-10 12:24:16.000 UTC,ethereum,base,1.500093
2026-04-10 12:24:19.000 UTC,arbitrum,hyperliquid,12000.744
2026-04-10 12:24:19.000 UTC,arbitrum,hyperliquid,145870.65341982
2026-04-10 12:24:21.000 UTC,arbitrum,zksync,388.8279825234871
2026-04-10 12:24:23.000 UTC,ethereum,polygon,4.99030938
2026-04-10 12:24:23.000 UTC,arbitrum,hyperliquid,20.00124
2026-04-10 12:24:26.000 UTC,arbitrum,optimism,276.6528240521279
2026-04-10 12:24:31.000 UTC,arbitrum,polygon,172.24681610474
2026-04-10 12:24:31.000 UTC,zksync,arbitrum,444.5536349994747
2026-04-10 12:24:31.000 UTC,polygon,ethereum,4.9730179489193
2026-04-10 12:24:34.000 UTC,arbitrum,hyperliquid,62.003844
2026-04-10 12:24:36.000 UTC,arbitrum,hyperliquid,560.65475844
2026-04-10 12:24:36.000 UTC,arbitrum,optimism,11.09405
2026-04-10 12:24:37.000 UTC,polygon,ethereum,1.1000682
2026-04-10 12:24:40.000 UTC,arbitrum,hyperliquid,50.0031
2026-04-10 12:24:41.000 UTC,arbitrum,optimism,3.5508023000000004
2026-04-10 12:24:44.000 UTC,arbitrum,polygon,2.81063506
2026-04-10 12:24:45.000 UTC,polygon,ethereum,1.006243383222
2026-04-10 12:24:49.000 UTC,arbitrum,hyperliquid,34.14211668
2026-04-10 12:24:51.000 UTC,base,polygon,99.64046035556801
2026-04-10 12:24:51.000 UTC,ethereum,hyperliquid,14.952849485038925
2026-04-10 12:25:07.000 UTC,arbitrum,base,199.9437781
2026-04-10 12:25:12.000 UTC,arbitrum,hyperliquid,504.934855
2026-04-10 12:25:18.000 UTC,arbitrum,base,5.831840885091883
2026-04-10 12:25:19.000 UTC,optimism,base,4.000876
2026-04-10 12:25:21.000 UTC,optimism,arbitrum,0.05543225
2026-04-10 12:25:21.000 UTC,arbitrum,polygon,33.582308323311004
2026-04-10 12:25:23.000 UTC,ethereum,zksync,1.999742
2026-04-10 12:25:23.000 UTC,zksync,optimism,387.05390671549355
2026-04-10 12:25:25.000 UTC,polygon,optimism,0.499951497936
2026-04-10 12:25:25.000 UTC,base,optimism,39.99484
2026-04-10 12:25:26.000 UTC,arbitrum,hyperliquid,299.7613258
2026-04-10 12:25:30.000 UTC,arbitrum,ethereum,30008.57020700625
2026-04-10 12:25:31.000 UTC,ethereum,zksync,275.34571496945904
2026-04-10 12:25:32.000 UTC,arbitrum,hyperliquid,214.80228692999998
2026-04-10 12:25:33.000 UTC,arbitrum,zksync,442.6765793382221
2026-04-10 12:25:35.000 UTC,ethereum,base,16.049745315736
2026-04-10 12:25:38.000 UTC,base,optimism,13.082011
2026-04-10 12:25:47.000 UTC,ethereum,arbitrum,43.621886050693995
2026-04-10 12:25:49.000 UTC,base,zksync,41.019864999999996
2026-04-10 12:25:49.000 UTC,arbitrum,base,385.9446011601193
2026-04-10 12:25:51.000 UTC,optimism,arbitrum,5.001095
